City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cockburn Town,TC,2022-10-10 20:47:40,21.4612,-71.1419,84.16,70,40,12.66
67,Kirakira,SB,2022-10-10 20:49:45,-10.4544,161.9205,80.94,78,37,2.46
68,Port Alfred,ZA,2022-10-10 20:47:12,-33.5906,26.891,67.17,86,99,1.01
69,Berlevag,NO,2022-10-10 20:49:46,70.8578,29.0864,41.0,75,0,6.91
70,Los Llanos De Aridane,ES,2022-10-10 20:49:46,28.6585,-17.9182,67.75,83,20,8.05
71,Esna,EG,2022-10-10 20:49:47,25.2934,32.554,77.61,33,0,12.1
72,Henties Bay,NA,2022-10-10 20:49:47,-22.116,14.2845,60.48,90,84,0.49
73,Hadsund,DK,2022-10-10 20:49:48,56.7148,10.1168,48.94,82,33,16.08
74,Dikson,RU,2022-10-10 20:47:27,73.5069,80.5464,34.29,99,100,7.74
75,Stroud,GB,2022-10-10 20:49:48,51.75,-2.2,49.77,75,10,4.25
76,Hermanus,ZA,2022-10-10 20:47:16,-34.4187,19.2345,69.8,54,100,4.21
77,Paka,MY,2022-10-10 20:49:49,4.6374,103.4368,75.13,94,94,0.0
78,Yellowknife,CA,2022-10-10 20:41:43,62.456,-114.3525,54.12,58,75,13.8
79,Necochea,AR,2022-10-10 20:49:49,-38.5473,-58.7368,59.41,53,22,18.16
80,Tuatapere,NZ,2022-10-10 20:45:48,-46.1333,167.6833,47.07,84,100,10.6
81,Batemans Bay,AU,2022-10-10 20:49:50,-35.7167,150.1833,49.1,75,51,3.47
82,Hjelset,NO,2022-10-10 20:49:51,62.7833,7.4833,46.18,81,75,24.16
83,Dunedin,NZ,2022-10-10 20:49:51,-45.8742,170.5036,52.81,71,98,8.01
84,Itarema,BR,2022-10-10 20:49:51,-2.9248,-39.9167,79.39,76,44,17.25
85,Hithadhoo,MV,2022-10-10 20:49:52,-0.6,73.0833,80.78,78,97,17.09
86,Imeni Poliny Osipenko,RU,2022-10-10 20:49:52,52.4201,136.4853,30.34,79,100,8.88
87,Lagoa,PT,2022-10-10 20:50:53,39.05,-27.9833,70.05,87,81,6.71
88,Hualmay,PE,2022-10-10 20:50:53,-11.0964,-77.6139,66.15,74,50,11.79
89,Broome,US,2022-10-10 20:50:53,42.2506,-75.833,61.43,63,20,9.22
90,Santa Isabel Do Rio Negro,BR,2022-10-10 20:50:54,-0.4139,-65.0192,87.42,53,96,0.74
91,Bluff,NZ,2022-10-10 20:50:54,-46.6,168.3333,49.48,61,68,18.81
92,Nikolskoye,RU,2022-10-10 20:50:55,59.7035,30.7861,44.8,86,64,6.49
93,Aklavik,CA,2022-10-10 20:50:55,68.2191,-135.0107,32.47,85,100,16.51
94,Riyadh,SA,2022-10-10 20:47:43,24.6877,46.7219,77.14,13,3,6.96
95,Adrar,MR,2022-10-10 20:45:53,20.5022,-10.0711,92.23,20,25,10.6
96,Popondetta,PG,2022-10-10 20:50:56,-8.7537,148.2534,77.54,82,75,1.3
97,Harrisburg,US,2022-10-10 20:47:59,40.2737,-76.8844,69.94,44,0,8.05
98,Villablino,ES,2022-10-10 20:50:56,42.9393,-6.3194,55.18,90,88,2.86
99,Kapaa,US,2022-10-10 20:46:04,22.0752,-159.319,84.11,70,0,6.91
100,Saskylakh,RU,2022-10-10 20:50:57,71.9167,114.0833,9.68,94,45,9.22
101,Khatanga,RU,2022-10-10 20:50:57,71.9667,102.5,5.23,97,70,2.24
102,Arman,RU,2022-10-10 20:50:58,59.7,150.1667,24.17,82,45,5.84
103,Lebu,CL,2022-10-10 20:48:13,-37.6167,-73.65,51.15,74,2,20.27
104,Colares,PT,2022-10-10 20:50:58,38.7992,-9.4469,67.33,97,75,17.0
105,Gigmoto,PH,2022-10-10 20:50:59,13.7796,124.39,80.35,87,100,7.83
106,Giddalur,IN,2022-10-10 20:50:59,15.35,78.9167,73.47,96,98,3.36
107,Porto Novo,BJ,2022-10-10 20:51:00,6.4965,2.6036,80.42,84,93,4.61
108,Guaraniacu,BR,2022-10-10 20:51:00,-25.1008,-52.8781,63.7,99,98,3.36
109,Moerai,PF,2022-10-10 20:51:01,-22.4333,-151.3333,70.3,72,98,23.42
110,Lompoc,US,2022-10-10 20:49:38,34.6391,-120.4579,81.01,80,100,10.36
111,Kuloy,RU,2022-10-10 20:51:02,61.0305,42.4925,41.02,89,80,7.29
112,Carnarvon,AU,2022-10-10 20:49:04,-24.8667,113.6333,63.93,62,96,20.58
113,Port Elizabeth,ZA,2022-10-10 20:46:01,-33.918,25.5701,66.49,94,0,12.66
114,Novobessergenevka,RU,2022-10-10 20:51:03,47.1847,38.8462,53.83,80,40,15.79
115,Mahebourg,MU,2022-10-10 20:47:29,-20.4081,57.7,71.89,78,40,6.91
116,Port Hardy,CA,2022-10-10 20:41:40,50.6996,-127.4199,57.38,62,40,19.57
117,Newcastle,AU,2022-10-10 20:48:48,-32.9272,151.7765,62.71,79,75,4.61
118,Bambanglipuro,ID,2022-10-10 20:51:04,-7.95,110.2833,76.15,90,100,3.87
119,Kidal,ML,2022-10-10 20:51:05,18.4411,1.4078,88.05,14,9,11.92
120,Asau,RO,2022-10-10 20:51:05,46.4333,26.4,38.32,69,57,2.42
121,Herat,AF,2022-10-10 20:51:06,34.5,62.0,56.25,14,0,5.86
122,Stromness,GB,2022-10-10 20:51:07,58.965,-3.296,49.87,78,100,25.01
123,Chokurdakh,RU,2022-10-10 20:51:07,70.6333,147.9167,19.62,84,100,17.65
124,Jamestown,US,2022-10-10 20:51:07,42.097,-79.2353,62.06,46,0,11.5
125,Surt,LY,2022-10-10 20:51:08,31.2089,16.5887,74.43,61,22,14.27
126,Nanortalik,GL,2022-10-10 20:51:09,60.1432,-45.2371,37.33,94,100,5.3
127,Burgeo,CA,2022-10-10 20:51:09,47.6167,-57.6152,47.55,61,22,18.37
128,Marsh Harbour,BS,2022-10-10 20:51:10,26.5412,-77.0636,83.17,70,8,8.81
129,Airai,TL,2022-10-10 20:46:01,-8.9266,125.4092,60.87,82,100,2.1
130,Upernavik,GL,2022-10-10 20:51:11,72.7868,-56.1549,14.74,69,89,4.56
131,Hovd,MN,2022-10-10 20:51:11,48.0056,91.6419,37.74,54,69,3.71
132,Katsuura,JP,2022-10-10 20:51:12,35.1333,140.3,70.65,66,95,25.79
133,Palmer,US,2022-10-10 20:51:12,42.1584,-72.3287,64.45,67,75,6.91
134,Saldanha,ZA,2022-10-10 20:52:13,-33.0117,17.9442,68.05,78,100,10.94
135,Muyezerskiy,RU,2022-10-10 20:52:13,63.9333,31.65,44.91,91,84,12.41
136,Isangel,VU,2022-10-10 20:52:14,-19.55,169.2667,75.31,73,100,6.91
137,Roebourne,AU,2022-10-10 20:47:16,-20.7833,117.1333,76.35,27,51,9.17
138,Torbay,CA,2022-10-10 20:52:15,47.6666,-52.7314,51.39,60,20,20.71
139,Codrington,AU,2022-10-10 20:52:15,-38.2667,141.9667,51.57,74,98,11.32
140,Walvis Bay,NA,2022-10-10 20:52:15,-22.9575,14.5053,60.1,94,97,4.61
141,Martapura,ID,2022-10-10 20:52:16,-3.4167,114.85,75.29,100,100,3.44
142,Rairangpur,IN,2022-10-10 20:52:17,22.2676,86.1751,73.76,92,80,4.41
143,East London,ZA,2022-10-10 20:45:26,-33.0153,27.9116,68.27,85,100,17.56
144,Taoudenni,ML,2022-10-10 20:52:17,22.6783,-3.9836,93.74,18,33,8.86
145,Eureka,US,2022-10-10 20:52:04,40.8021,-124.1637,58.39,72,13,7.61
146,Qaanaaq,GL,2022-10-10 20:52:18,77.484,-69.3632,8.17,58,23,7.23
147,Sayat,TM,2022-10-10 20:52:19,38.7839,63.8803,55.27,21,0,7.31
148,Hasaki,JP,2022-10-10 20:52:19,35.7333,140.8333,74.21,66,98,27.2
149,Geraldton,AU,2022-10-10 20:47:13,-28.7667,114.6,46.81,87,97,2.3
150,Parabel,RU,2022-10-10 20:52:20,58.6978,81.4825,46.62,81,100,13.69
151,Purpe,RU,2022-10-10 20:52:20,64.4803,76.6897,37.15,90,83,19.93
152,Fayaoue,NC,2022-10-10 20:52:21,-20.65,166.5333,75.06,74,100,19.75
153,Cabo San Lucas,MX,2022-10-10 20:45:58,22.8909,-109.9124,94.6,55,0,8.05
154,Umm Lajj,SA,2022-10-10 20:52:22,25.0213,37.2685,82.72,59,0,8.84
155,Lamesa,US,2022-10-10 20:52:22,32.7376,-101.951,66.52,56,76,7.54
156,Maxixe,MZ,2022-10-10 20:52:23,-23.8597,35.3472,71.73,91,1,5.66
157,Pelym,RU,2022-10-10 20:52:23,61.0108,61.9978,40.21,76,6,7.83
158,Caceres,ES,2022-10-10 20:52:23,39.522,-6.3748,67.03,54,89,1.21
159,Barsovo,RU,2022-10-10 20:52:24,61.1667,73.1667,44.73,92,100,11.34
160,College,US,2022-10-10 20:52:24,64.8569,-147.8028,33.75,84,75,3.44
161,Poum,NC,2022-10-10 20:52:25,-20.2333,164.0167,77.18,74,100,22.95
162,Ponta Do Sol,PT,2022-10-10 20:52:25,32.6667,-17.1,74.01,77,58,6.87
163,Bethel,US,2022-10-10 20:52:26,41.3712,-73.414,65.8,58,100,5.75
164,Butterworth,MY,2022-10-10 20:52:26,5.3991,100.3638,81.34,88,20,2.3
165,Balikpapan,ID,2022-10-10 20:52:27,-1.2675,116.8289,76.19,100,40,5.75
166,Severo-Kurilsk,RU,2022-10-10 20:52:27,50.6789,156.125,46.53,84,100,12.5
167,Igrim,RU,2022-10-10 20:52:27,63.1906,64.4162,39.43,77,12,12.01
168,Pitmoaga,BF,2022-10-10 20:52:28,12.2397,-1.8767,78.42,52,63,5.53
169,Tomatlan,MX,2022-10-10 20:52:28,19.9333,-105.25,90.95,50,87,5.5
170,Kiboga,UG,2022-10-10 20:52:29,0.9161,31.7742,61.68,98,74,1.83
171,Alofi,NU,2022-10-10 20:52:30,-19.0595,-169.9187,78.69,89,75,10.36
172,Tiznit,MA,2022-10-10 20:52:30,29.5833,-9.5,64.96,75,5,3.67
173,Hofn,IS,2022-10-10 20:52:30,64.2539,-15.2082,33.44,60,35,10.49
174,Varhaug,NO,2022-10-10 20:52:31,58.6147,5.6457,50.49,74,71,23.09
175,Cap Malheureux,MU,2022-10-10 20:52:31,-19.9842,57.6142,68.47,73,13,4.0
176,Thompson,CA,2022-10-10 20:52:32,55.7435,-97.8558,69.96,37,20,13.8
177,Anloga,GH,2022-10-10 20:52:32,5.7947,0.8973,79.02,83,53,8.37
178,Saint Anthony,US,2022-10-10 20:52:33,45.0205,-93.218,72.48,37,0,11.5
179,Santiago De Cao,PE,2022-10-10 20:52:33,-7.9589,-79.2392,64.53,72,39,14.97
180,Bathsheba,BB,2022-10-10 20:52:33,13.2167,-59.5167,86.61,74,40,18.41
181,Narsaq,GL,2022-10-10 20:53:34,60.9167,-46.05,34.75,99,100,5.99
182,Mirzapur,IN,2022-10-10 20:53:34,25.15,82.5833,75.67,91,100,0.63
183,Itoman,JP,2022-10-10 20:53:35,26.1247,127.6694,73.42,58,75,21.85
184,Reforma,MX,2022-10-10 20:53:35,18.1,-91.0167,73.29,97,100,11.21
185,Faanui,PF,2022-10-10 20:53:36,-16.4833,-151.75,78.03,75,31,18.59
186,Latung,PH,2022-10-10 20:53:36,5.5,120.8833,83.1,78,97,16.62
187,Kendari,ID,2022-10-10 20:53:37,-3.945,122.4989,73.9,95,40,4.43
188,George,ZA,2022-10-10 20:53:37,-33.963,22.4617,62.15,82,100,11.5
189,Nagai,JP,2022-10-10 20:53:37,38.1036,140.035,56.08,94,99,4.61
190,Chifeng,CN,2022-10-10 20:53:38,42.2683,118.9636,36.59,37,0,5.79
191,Moscow,RU,2022-10-10 20:53:17,55.7522,37.6156,44.38,75,12,5.93
192,Nyimba,ZM,2022-10-10 20:53:39,-14.5566,30.8149,79.18,30,4,12.3
193,Mnogovershinnyy,RU,2022-10-10 20:53:39,53.9353,139.9242,32.07,92,100,3.13
194,La Rioja,ES,2022-10-10 20:53:40,42.25,-2.5,55.18,69,100,1.32
195,Abu Samrah,SY,2022-10-10 20:53:40,35.3029,37.1841,69.03,59,0,3.6
196,La Baule-Escoublac,FR,2022-10-10 20:53:41,47.2922,-2.364,62.71,86,100,10.36
197,Lata,PT,2022-10-10 20:53:41,40.1629,-8.3327,63.91,95,50,1.81
198,Haines Junction,CA,2022-10-10 20:53:42,60.7522,-137.5108,39.15,75,100,1.14
199,Balkanabat,TM,2022-10-10 20:53:42,39.5108,54.3671,72.86,19,37,2.21
200,Bereda,ES,2022-10-10 20:53:42,43.2686,-7.5406,60.42,100,80,3.33
201,Balta,UA,2022-10-10 20:53:43,47.9355,29.6198,45.7,67,0,5.99
202,Marsala,IT,2022-10-10 20:53:43,37.7966,12.4352,69.75,78,20,3.44
203,Avarua,CK,2022-10-10 20:53:44,-21.2078,-159.775,77.05,73,20,26.46
204,Vangaindrano,MG,2022-10-10 20:53:44,-23.35,47.6,65.53,89,1,7.78
205,Lebanon,US,2022-10-10 20:53:01,36.2081,-86.2911,76.26,33,0,0.0
206,Ambon,ID,2022-10-10 20:53:45,-3.6954,128.1814,75.34,100,40,6.91
207,Greenville,US,2022-10-10 20:53:45,35.6127,-77.3663,73.56,56,75,0.0
208,Broken Hill,AU,2022-10-10 20:53:46,-31.95,141.4333,59.2,38,100,11.18
209,Cabra,ES,2022-10-10 20:53:46,37.4725,-4.4421,66.51,51,45,4.23
210,Tarko-Sale,RU,2022-10-10 20:53:46,64.9225,77.785,38.7,85,82,20.89
211,Yulara,AU,2022-10-10 20:53:47,-25.2406,130.9889,67.19,26,100,6.13
212,Acarau,BR,2022-10-10 20:53:47,-2.8856,-40.12,79.99,74,45,18.99
213,Kyzyl-Suu,KG,2022-10-10 20:53:48,42.3414,78.0056,40.62,43,0,6.44
214,Guerrero Negro,MX,2022-10-10 20:53:48,27.9769,-114.0611,75.69,67,16,14.16
215,Shirokiy,RU,2022-10-10 20:53:49,49.758,129.523,30.74,60,2,11.83
216,Casas Grandes,MX,2022-10-10 20:53:49,30.3667,-107.95,72.45,39,32,5.95
217,Teya,RU,2022-10-10 20:53:50,60.3778,92.6267,40.69,95,100,8.75
218,Tecoanapa,MX,2022-10-10 20:53:50,16.5167,-98.75,85.62,69,98,7.36
219,Touba,CI,2022-10-10 20:53:51,8.2833,-7.6833,71.69,90,84,1.36
220,Vanimo,PG,2022-10-10 20:53:51,-2.6741,141.3028,77.4,90,100,5.17
221,Port Lincoln,AU,2022-10-10 20:53:52,-34.7333,135.8667,64.63,37,99,14.81
222,Boda,CF,2022-10-10 20:53:52,4.3189,17.4695,68.83,96,100,1.25
223,Gopalganj,IN,2022-10-10 20:53:53,26.4667,84.4333,73.11,82,61,6.73
224,Klaksvik,FO,2022-10-10 20:53:53,62.2266,-6.589,41.92,75,100,28.19
225,Gushi,CN,2022-10-10 20:54:53,34.6425,109.5843,47.73,45,0,2.01
226,Touros,BR,2022-10-10 20:54:54,-5.1989,-35.4608,78.21,79,7,16.13
227,Saint-Prosper,CA,2022-10-10 20:54:54,46.2117,-70.4811,46.71,56,79,7.87
228,Kodiak,US,2022-10-10 20:54:55,57.79,-152.4072,50.49,77,96,12.26
229,Grindavik,IS,2022-10-10 20:54:56,63.8424,-22.4338,37.87,65,100,9.22
230,Teeli,RU,2022-10-10 20:54:56,51.0333,90.2333,33.6,71,36,2.1
231,Lieksa,FI,2022-10-10 20:54:56,63.3167,30.0167,47.75,87,25,15.97
232,Atar,MR,2022-10-10 20:54:57,20.5169,-13.0499,94.6,21,70,5.82
233,Tamala,RU,2022-10-10 20:54:57,52.541,43.2515,48.83,92,100,14.29
234,Karoi,ZW,2022-10-10 20:54:58,-16.8099,29.6925,70.61,31,0,9.44
235,Kavieng,PG,2022-10-10 20:54:58,-2.5744,150.7967,81.46,71,11,8.41
236,Lazaro Cardenas,MX,2022-10-10 20:54:58,17.9583,-102.2,86.7,64,100,10.02
237,Georgetown,MY,2022-10-10 20:54:59,5.4112,100.3354,81.23,87,20,2.3
238,Susehri,TR,2022-10-10 20:54:59,40.1644,38.0867,51.17,84,51,2.98
239,Asosa,ET,2022-10-10 20:55:00,10.0667,34.5333,60.08,91,100,3.69
240,Thap Than,TH,2022-10-10 20:55:00,15.4606,99.8917,71.85,91,100,2.39
241,Stornoway,GB,2022-10-10 20:55:01,58.2093,-6.3865,46.92,86,97,10.36
242,Porto-Vecchio,FR,2022-10-10 20:55:01,41.591,9.2795,64.06,88,0,8.05
243,Gualeguaychu,AR,2022-10-10 20:55:03,-33.0094,-58.5172,67.89,34,14,13.22
244,Dingle,PH,2022-10-10 20:55:04,10.9995,122.6711,74.57,91,50,1.1
245,Akdepe,TM,2022-10-10 20:55:05,42.0551,59.3788,55.49,21,0,10.67
246,Talnakh,RU,2022-10-10 20:52:38,69.4865,88.3972,36.21,99,100,6.8
247,Mogadishu,SO,2022-10-10 20:55:05,2.0371,45.3438,77.09,82,6,16.51
248,Bellmead,US,2022-10-10 20:55:06,31.594,-97.1089,90.27,29,40,5.75
249,Conde,BR,2022-10-10 20:55:06,-7.2597,-34.9075,80.06,74,40,17.27
250,Ponta Pora,BR,2022-10-10 20:55:07,-22.5361,-55.7256,66.11,77,100,2.3
251,Westport,US,2022-10-10 20:43:42,41.1415,-73.3579,68.56,51,0,11.5
252,Marathon,US,2022-10-10 20:55:09,44.9,-89.7668,63.64,54,41,1.01
253,Phuket,TH,2022-10-10 20:55:10,8.0,98.25,84.13,89,20,1.14
254,Fortuna,US,2022-10-10 20:50:29,40.5982,-124.1573,58.12,94,100,10.36
255,Araouane,ML,2022-10-10 20:55:11,18.9048,-3.5265,94.8,13,14,4.76
256,Bemidji,US,2022-10-10 20:51:58,47.4736,-94.8803,67.17,41,0,9.22
257,Rawson,AR,2022-10-10 20:45:51,-43.3002,-65.1023,70.93,21,6,10.49
258,Ahipara,NZ,2022-10-10 20:55:12,-35.1667,173.1667,62.94,64,57,3.27
259,Dryden,CA,2022-10-10 20:55:13,49.7833,-92.7503,57.49,54,0,14.97
260,Margate,GB,2022-10-10 20:47:25,51.3813,1.3862,55.69,67,5,1.99
261,Alyangula,AU,2022-10-10 20:55:13,-13.8483,136.4192,76.87,94,100,3.44
262,Adre,TD,2022-10-10 20:55:14,13.4667,22.2,82.36,32,37,3.67
263,Vila Velha,BR,2022-10-10 20:46:03,-20.3297,-40.2925,78.75,83,75,17.27
264,Plettenberg Bay,ZA,2022-10-10 20:56:14,-34.0527,23.3716,67.91,67,100,4.0
265,Havoysund,NO,2022-10-10 20:56:15,70.9963,24.6622,46.63,79,100,13.56
266,Uspenka,UA,2022-10-10 20:56:15,48.3903,39.1619,51.67,87,76,7.94
267,Tambovka,RU,2022-10-10 20:56:15,50.0969,128.0489,28.99,63,10,7.4
268,Nicoya,CR,2022-10-10 20:56:16,10.1483,-85.452,81.81,76,83,3.15
269,Bonanza,NI,2022-10-10 20:56:16,14.0289,-84.591,77.2,97,100,2.64
270,Puerto Ayora,EC,2022-10-10 20:47:23,-0.7393,-90.3518,76.96,87,65,7.0
271,Marsaxlokk,MT,2022-10-10 20:56:17,35.8419,14.5431,70.09,88,0,2.3
272,Catuday,PH,2022-10-10 20:56:17,16.2923,119.8062,78.33,79,65,6.67
273,Kachiry,KZ,2022-10-10 20:56:18,53.0675,76.1036,45.81,65,50,12.19
274,San Juan,AR,2022-10-10 20:53:49,-31.5375,-68.5364,72.3,12,0,4.79
275,Honiara,SB,2022-10-10 20:56:19,-9.4333,159.95,81.57,76,8,2.04
276,Lesosibirsk,RU,2022-10-10 20:56:20,58.2358,92.4828,43.75,84,100,8.84
277,Remontnoye,RU,2022-10-10 20:56:20,46.5614,43.6501,58.57,78,99,15.5
278,Ribeira Grande,PT,2022-10-10 20:47:26,38.5167,-28.7,72.0,88,20,3.44
279,Laguna,US,2022-10-10 20:56:21,38.421,-121.4238,92.32,34,0,8.05
280,Saint George,US,2022-10-10 20:56:21,37.1041,-113.5841,85.42,24,3,1.99
281,Hazorasp,UZ,2022-10-10 20:56:22,41.3194,61.0742,48.04,21,1,11.83
282,Cayenne,GF,2022-10-10 20:56:22,4.9333,-52.3333,84.24,79,75,11.5
283,Ambagarh Chauki,IN,2022-10-10 20:56:23,20.7833,80.7167,72.82,94,96,6.26
284,Lingao,CN,2022-10-10 20:56:23,19.9103,109.6859,73.71,75,89,7.87
285,Erenhot,CN,2022-10-10 20:56:24,43.6475,111.9767,40.26,18,3,8.23
286,Lorengau,PG,2022-10-10 20:47:29,-2.0226,147.2712,80.56,67,78,6.13
287,Wladyslawowo,PL,2022-10-10 20:56:24,54.7909,18.4009,53.94,54,100,17.29
288,Kahului,US,2022-10-10 20:56:25,20.8947,-156.47,86.97,80,6,8.01
289,Orzhytsya,UA,2022-10-10 20:56:25,49.7918,32.7012,46.02,74,46,12.57
290,Keuruu,FI,2022-10-10 20:56:26,62.2667,24.7,50.81,73,100,13.4
291,Urumqi,CN,2022-10-10 20:56:26,43.801,87.6005,47.35,57,0,2.24
292,Binghamton,US,2022-10-10 20:56:26,42.0987,-75.918,61.68,66,85,4.0
293,Santa Marinella,IT,2022-10-10 20:56:27,42.0345,11.8536,66.54,83,92,4.0
294,Khvoynaya,RU,2022-10-10 20:56:27,58.9,34.5333,39.36,91,98,4.68
295,Puerto Del Rosario,ES,2022-10-10 20:56:28,28.5004,-13.8627,73.15,73,40,13.8
296,Krasnoselkup,RU,2022-10-10 20:56:28,65.7,82.4667,39.9,98,100,9.33
